"","X.1","X","net","net_index","Start_hh","Start_mm","End_hh","End_mm","Year","Month","Day","Date","Week","Season","Fisherman","Fishing_field","Depth","Distance_to_Shore","Commants","Storm","box_only","night_drag_prawn","Many.Nasralas","Very_weak","Duration","Gambari_net","Distance_from_shore_km","depth_meter","new_site","new_direction","Lat_shore","lon_shore","perpendicular","Lon_final","Lat_final","loc_DEPTH","Nra","Sco","Sig","Ssi","Umo","Upo","mtc"
"5090",5090,5090,5090,"3-2009_10",15,30,"19","0",2009,9,23,"2009-09-23",38,"autumn","Levi","Ashdod S",NA,1.4,NA,FALSE,NA,NA,NA,FALSE,3.5,FALSE,2.52,34.48971,"Ashdod","S",31.83,34.63,301,34.60718,31.8417,34.48971,0,40,0,0,0,0,28
"5091",5091,5091,5091,"3-2010_11",2,30,"7","0",2010,10,1,"2010-10-01",40,"autumn","Levi","Ashdod S",26,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,4.5,FALSE,NA,46.8,"Ashdod","S",31.83,34.63,301,34.55663,31.8676,47.47942,40,0,0,0,0,0,28
"5092",5092,5092,5092,"3-2011_12",20,30,"0","0",2011,12,27,"2011-12-27",52,"winter","Vadim","Gazza N",25,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,3.5,FALSE,NA,45,"Gaza","N",31.6,34.48,310,34.40974,31.65042,45.06486,20,0,0,0,0,0,28
"5093",5093,5093,5093,"3-2012_13",1,35,"5","50",2012,10,2,"2012-10-02",40,"autumn","Doli","Ashdod S",NA,2.8,NA,FALSE,FALSE,TRUE,NA,FALSE,4.25,TRUE,5.04,38.33304,"Ashdod","S",31.83,34.63,301,34.58435,31.8534,38.33304,20,0,0,0,0,0,28
"5094",5094,5094,5094,"30-1976_7_b",8,0,"12","0",1977,2,28,"1977-02-28",9,"winter","Levi","Ashdod W",28,NA,NA,FALSE,NA,NA,NA,FALSE,4,FALSE,NA,50.4,"Ashdod","W",31.83,34.63,301,34.55119,31.87039,50.10418,0,0,0,0,0,0,NA
"5095",5095,5095,5095,"30-1981_2",NA,NA,NA,NA,1981,10,25,"1981-10-25",43,"autumn","Sarot","Bat yam S",NA,NA,NA,FALSE,NA,NA,NA,FALSE,NA,TRUE,NA,NA,"Bat_Yam","S",32.02,34.73,286,NA,NA,NA,0,0,0,0,0,0,NA
"5096",5096,5096,5096,"30-1984_5",9,30,"12","30",1984,10,9,"1984-10-09",41,"autumn","Sarot","Riding",NA,4,NA,FALSE,NA,NA,NA,FALSE,3,FALSE,7.2,42.89791,"Riding",NA,32.1,34.77,285,34.69631,32.11678,42.89791,0,0,0,0,0,0,NA
"5097",5097,5097,5097,"30-1987_8",NA,NA,NA,NA,1987,10,12,"1987-10-12",41,"autumn","Tzion","hasi N",22,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,NA,39.6,"Hasi","N",31.6,34.48,310,34.41701,31.6452,39.06246,0,0,0,0,0,0,NA
"5098",5098,5098,5098,"30-1989_90",7,30,"11","0",1989,10,19,"1989-10-19",42,"autumn","Levi","Ashdod N",NA,2.8,NA,FALSE,NA,NA,NA,FALSE,3.5,FALSE,5.04,38.33304,"Ashdod","N",31.83,34.63,301,34.58435,31.8534,38.33304,0,0,0,0,0,0,NA
"5099",5099,5099,5099,"30-1990_1",0,0,"6","30",1990,10,13,"1990-10-13",41,"autumn","Levi","Ashdod(N)",50,NA,NA,FALSE,NA,NA,NA,FALSE,6.5,FALSE,NA,90,"Ashdod",NA,31.83,34.63,301,34.4968,31.89821,90.06358,0,0,0,0,0,0,NA
"5100",5100,5100,5100,"30-1991_2",15,0,"17","15",1991,9,27,"1991-09-27",39,"autumn","Sarot","Bat yam S",NA,1.5,NA,FALSE,NA,NA,NA,FALSE,2.25,FALSE,2.7,36.0916,"Bat_Yam","S",32.02,34.73,286,34.70253,32.02671,36.0916,0,0,0,0,0,0,NA
"5101",5101,5101,5101,"30-1992_3",6,0,"9","30",1992,10,28,"1992-10-28",44,"autumn","Levi","Falick S",27,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,3.5,FALSE,NA,48.6,"Falick","S",32.26,34.83,300,34.74908,32.29965,48.58558,0,0,0,0,0,0,NA
"5102",5102,5102,5102,"30-1994_5",9,45,"13","0",1994,9,23,"1994-09-23",38,"autumn","Sarot","Ashdod N",NA,1.8,NA,FALSE,NA,NA,NA,FALSE,3.25,FALSE,3.24,36.90295,"Ashdod","N",31.83,34.63,301,34.60066,31.84505,36.90295,0,0,0,0,0,0,NA
"5103",5103,5103,5103,"30-1995_6",6,30,"10","0",1995,10,14,"1995-10-14",41,"autumn","Levi","Ashdod",NA,1.8,NA,FALSE,NA,NA,NA,FALSE,3.5,FALSE,3.24,36.90295,"Ashdod",NA,31.83,34.63,301,34.60066,31.84505,36.90295,0,0,0,0,0,0,NA
"5104",5104,5104,5104,"30-1997_8",19,30,"1","15",1997,10,24,"1997-10-24",43,"autumn","Levi","Tel Aviv N",180,NA,NA,FALSE,NA,NA,NA,FALSE,5.75,FALSE,NA,324,"Tel_aviv","N",32.08,34.74,285,NA,NA,NA,0,0,0,0,0,0,NA
"5105",5105,5105,5105,"30-2001",10,0,NA,NA,2001,3,25,"2001-03-25",12,"spring","Levi","Jaffa S",NA,3,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,5.4,41.18193,"Jaffa","S",32.05,34.74,296,34.6886,32.07134,41.18193,0,0,0,0,0,0,NA
"5106",5106,5106,5106,"30-2001_02",10,30,"14","0",2001,10,15,"2001-10-15",42,"autumn","Sarot","Katza",27,NA,NA,FALSE,NA,NA,NA,FALSE,3.5,FALSE,NA,48.6,"Katza",NA,31.63,34.51,306,34.42041,31.68563,49.77996,0,0,0,0,0,0,NA
"5107",5107,5107,5107,"30-2002_3",9,0,"13","0",2002,10,4,"2002-10-04",40,"autumn","Levi","Ashdod S",NA,2,NA,FALSE,FALSE,FALSE,NA,FALSE,4,FALSE,3.6,37.56635,"Ashdod","S",31.83,34.63,301,34.5974,31.84672,37.56635,0,30,0,0,0,0,28
"5108",5108,5108,5108,"30-2003_4",11,30,"15","0",2003,9,19,"2003-09-19",38,"autumn","Levi","Ashdod S",28,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,3.5,FALSE,NA,50.4,"Ashdod","S",31.83,34.63,301,34.5521,31.86992,50.10418,0,0,0,0,0,0,NA
"5109",5109,5109,5109,"30-2004_05",NA,NA,NA,NA,2004,9,27,"2004-09-27",39,"autumn",NA,"gaas N",NA,2.85,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,5.13,42.42727,"Gaash","N",32.23,34.81,293,34.75989,32.24807,42.42727,0,0,0,0,0,0,NA
"5110",5110,5110,5110,"30-2005_6",6,15,"10","0",2005,10,29,"2005-10-29",44,"autumn","Levi","Ashdod S",NA,2.2,NA,FALSE,NA,NA,NA,FALSE,3.75,FALSE,3.96,37.81363,"Ashdod","S",31.83,34.63,301,34.59414,31.84839,37.81363,0,0,0,0,0,0,NA
"5111",5111,5111,5111,"30-2006_7_first",6,0,"9","0",2006,10,15,"2006-10-15",42,"autumn","Levi","Tzinor N",NA,3,NA,FALSE,NA,NA,NA,FALSE,3,FALSE,5.4,39.21016,"Ashdod","N",31.83,34.63,301,34.58109,31.85507,39.21016,0,30,0,0,0,0,28
"5112",5112,5112,5112,"30-2008_09",11,0,"4","30",2008,10,11,"2008-10-11",41,"autumn","Vadim","Ashdod S",NA,4,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,7.2,43.63904,"Ashdod","S",31.83,34.63,301,34.56478,31.86343,43.63904,0,20,0,0,15,0,25.89721
"5113",5113,5113,5113,"30-2009_10",11,0,"14","30",2009,10,6,"2009-10-06",40,"autumn","Vadim","Ashdod N",NA,3,NA,FALSE,NA,NA,NA,FALSE,3.5,FALSE,5.4,39.21016,"Ashdod","N",31.83,34.63,301,34.58109,31.85507,39.21016,0,0,0,0,1.5,0,23.09349
"5114",5114,5114,5114,"30-2010_11",13,30,"17","30",2010,10,11,"2010-10-11",41,"autumn","Vadim","Ashdod N",NA,2.4,NA,FALSE,FALSE,FALSE,NA,FALSE,4,FALSE,4.32,38.1129,"Ashdod","N",31.83,34.63,301,34.59088,31.85006,38.1129,0,30,0,0,0,25,26.53377
"5115",5115,5115,5115,"30-2011_12",20,0,"1","0",2012,1,6,"2012-01-06",1,"winter","Levi","Palmachim N",16,NA,NA,FALSE,FALSE,TRUE,NA,FALSE,5,TRUE,NA,28.8,"Palmachim ","N",31.9,34.7,285,34.66017,31.9091,28.31202,0,0,0,0,0,0,NA
"5116",5116,5116,5116,"30-2012_13",14,30,"17","30",2012,10,12,"2012-10-12",41,"autumn","Levi","Ashdod N",NA,1.9,NA,FALSE,FALSE,FALSE,NA,FALSE,3,FALSE,3.42,37.38124,"Ashdod","N",31.83,34.63,301,34.59903,31.84588,37.38124,0,0,0,0,0,0,NA
"5117",5117,5117,5117,"300-1976_7_b",7,30,"11","30",1977,7,12,"1977-07-12",28,"summer","Levi","Ashdod E",16,NA,NA,FALSE,NA,NA,NA,FALSE,4,FALSE,NA,28.8,"Ashdod","E",31.83,34.63,301,34.62094,31.83464,28.31111,0,0,0,0,0,0,NA
"5118",5118,5118,5118,"300-1977_8",NA,NA,NA,NA,1978,3,22,"1978-03-22",12,"spring","Sarot","Ashdod S",140,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,NA,252,"Ashdod","S",31.83,34.63,301,34.41969,31.93759,249.236,0,0,0,0,0,0,NA
"5119",5119,5119,5119,"300-1981_2",NA,NA,NA,NA,1982,4,23,"1982-04-23",17,"spring","Sarot","Kor N",90,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,NA,162,"Kor","N",31.9,34.67,297,34.53334,31.95929,161.1563,0,0,0,0,0,0,NA
"5120",5120,5120,5120,"300-1987_8",NA,NA,NA,NA,1988,2,5,"1988-02-05",6,"winter","Tzion","Ashdod N",NA,NA,NA,FALSE,NA,NA,NA,FALSE,NA,TRUE,NA,NA,"Ashdod","N",31.83,34.63,301,NA,NA,NA,0,0,0,0,0,0,NA
"5121",5121,5121,5121,"300-1989_90",17,0,"21","0",1990,2,16,"1990-02-16",7,"winter","Levi","Ashdod S",NA,1.4,NA,FALSE,NA,NA,NA,FALSE,4,TRUE,2.52,34.48971,"Ashdod","S",31.83,34.63,301,34.60718,31.8417,34.48971,0,0,0,0,0,0,NA
"5122",5122,5122,5122,"300-1991_2",21,0,"6","0",1992,3,5,"1992-03-05",10,"spring","Levi","Tel Aviv N",8,NA,NA,FALSE,NA,NA,NA,FALSE,9,TRUE,NA,14.4,"Tel_aviv","N",32.08,34.74,285,NA,NA,NA,0,0,0,0,0,0,NA
"5123",5123,5123,5123,"300-1992_3",19,30,"5","0",1993,3,22,"1993-03-22",12,"spring","Levi","Ashdod S",210,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,9.5,FALSE,NA,378,"Ashdod","S",31.83,34.63,301,NA,NA,NA,0,0,0,0,0,0,NA
"5124",5124,5124,5124,"300-1994_5",23,0,"6","0",1995,2,14,"1995-02-14",7,"winter","Levi","Ashdod S",NA,NA,NA,FALSE,NA,NA,NA,FALSE,7,TRUE,NA,NA,"Ashdod","S",31.83,34.63,301,NA,NA,NA,0,0,0,0,0,0,NA
"5125",5125,5125,5125,"300-1995_6",18,30,"0","0",1996,1,22,"1996-01-22",4,"winter","Sarot","Ashdod",9,NA,NA,FALSE,NA,NA,NA,FALSE,5.5,TRUE,NA,16.2,"Ashdod",NA,31.83,34.63,301,34.63,31.83,16.71903,0,0,0,0,0,0,NA
"5126",5126,5126,5126,"300-1997_8",14,0,NA,NA,1998,3,25,"1998-03-25",12,"spring","Levi","Gazza N",NA,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,NA,NA,"Gaza","N",31.6,34.48,310,NA,NA,NA,0,0,0,0,0,0,NA
"5127",5127,5127,5127,"300-2001",NA,NA,NA,NA,2001,8,31,"2001-08-31",35,"summer","Sarot","Jaffa N",NA,7.75,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,13.95,98.14294,"Jaffa","N",32.05,34.74,296,34.60716,32.10508,98.14294,0,0,0,0,0,0,NA
"5128",5128,5128,5128,"300-2001_02",20,0,"2","0",2002,4,22,"2002-04-22",16,"spring","Levi","Ashdod S",210,NA,NA,FALSE,NA,NA,NA,FALSE,6,FALSE,NA,378,"Ashdod","S",31.83,34.63,301,NA,NA,NA,0,0,0,0,0,0,NA
"5129",5129,5129,5129,"300-2002_3",13,30,"17","30",2003,3,21,"2003-03-21",12,"spring","Levi","Ashdod N",18,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,4,FALSE,NA,32.4,"Ashdod","N",31.83,34.63,301,34.61098,31.83975,31.7515,0,0,0,0,0,0,NA
"5130",5130,5130,5130,"300-2004_05",12,30,"16","30",2005,3,14,"2005-03-14",11,"spring","Levi","Ashkelon S",32,NA,NA,FALSE,NA,NA,NA,FALSE,4,FALSE,NA,57.6,"Ashkelon","S",31.68,34.56,306,34.44985,31.74834,56.93692,0,0,0,0,0,0,NA
"5131",5131,5131,5131,"300-2007_8",10,45,NA,NA,2008,2,16,"2008-02-16",7,"winter","Levi","Reedeeng S",28,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,NA,50.4,"Riding","S",32.1,34.77,285,34.67378,32.1219,50.64901,0,0,0,0,30,0,23.09349
"5132",5132,5132,5132,"300-2008_09",12,30,"17","0",2009,2,2,"2009-02-02",5,"winter","Vadim","Ashdod S",42,NA,NA,FALSE,NA,NA,NA,FALSE,4.5,FALSE,NA,75.6,"Ashdod","S",31.83,34.63,301,34.51765,31.88755,76.91565,0,0,0,0,10,0,23.09349
"5133",5133,5133,5133,"300-2009_10",19,0,"3","0",2010,2,9,"2010-02-09",6,"winter","Vadim","Ashdod S",NA,2.5,NA,FALSE,NA,NA,NA,FALSE,8,TRUE,4.5,38.21372,"Ashdod","S",31.83,34.63,301,34.58925,31.8509,38.21372,80,0,0,0,0,0,28
"5134",5134,5134,5134,"300-2010_11",7,0,"11","10",2011,1,9,"2011-01-09",2,"winter","Levi","Ashdod S",NA,2.2,NA,FALSE,FALSE,FALSE,NA,FALSE,4.166667,FALSE,3.96,37.81363,"Ashdod","S",31.83,34.63,301,34.59414,31.84839,37.81363,30,0,0,0,10,0,26.77337
"5135",5135,5135,5135,"300-2011_12",10,10,"14","10",2012,5,29,"2012-05-29",22,"spring","Doli","Ashdod S",NA,3.5,NA,FALSE,TRUE,FALSE,NA,FALSE,4,FALSE,6.3,40.91833,"Ashdod","S",31.83,34.63,301,34.57294,31.85925,40.91833,0,0,0,0,0,0,NA
"5136",5136,5136,5136,"300-2012_13",18,50,"23","30",2013,2,19,"2013-02-19",8,"winter","Doli","Ashdod S",NA,1.4,NA,FALSE,FALSE,TRUE,NA,FALSE,4.666667,TRUE,2.52,34.48971,"Ashdod","S",31.83,34.63,301,34.60718,31.8417,34.48971,0,0,0,0,0,0,NA
"5137",5137,5137,5137,"301-1977_8",NA,NA,NA,NA,1978,3,22,"1978-03-22",12,"spring","Sarot","Katza S",100,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,NA,180,"Katza","S",31.63,34.51,306,34.32814,31.74278,180.7539,0,0,0,0,0,0,NA
"5138",5138,5138,5138,"301-1981_2",NA,NA,NA,NA,1982,4,23,"1982-04-23",17,"spring","Sarot","Ashdod N",NA,NA,NA,FALSE,NA,NA,NA,FALSE,NA,TRUE,NA,NA,"Ashdod","N",31.83,34.63,301,NA,NA,NA,0,0,0,0,0,0,NA
"5139",5139,5139,5139,"301-1987_8",NA,NA,NA,NA,1988,2,6,"1988-02-06",6,"winter","Tzion","Riding N",NA,4,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,7.2,42.89791,"Riding","N",32.1,34.77,285,34.69631,32.11678,42.89791,0,0,0,0,0,0,NA
"5140",5140,5140,5140,"301-1989_90",23,0,"6","0",1990,2,16,"1990-02-16",7,"winter","Levi","Ashdod N",42,NA,NA,FALSE,NA,NA,NA,FALSE,7,FALSE,NA,75.6,"Ashdod","N",31.83,34.63,301,34.51765,31.88755,76.91565,0,0,0,0,0,0,NA
"5141",5141,5141,5141,"301-1990_1",NA,NA,NA,NA,1991,1,13,"1991-01-13",2,"winter","Tzion","Ashdod(N)",48,2.6,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,4.68,86.4,"Ashdod",NA,31.83,34.63,301,34.50496,31.89404,86.7276,0,0,0,0,0,0,NA
"5142",5142,5142,5142,"301-1991_2",7,0,"12","30",1992,3,6,"1992-03-06",10,"spring","Levi","vitkin S",27,NA,NA,FALSE,NA,NA,NA,FALSE,5.5,FALSE,NA,48.6,"vitkin ","S",32.4,34.86,286,34.79255,32.41639,48.7394,0,0,0,0,0,0,NA
"5143",5143,5143,5143,"301-1992_3",6,30,"11","0",1993,3,23,"1993-03-23",12,"spring","Levi","Ashdod N",210,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,4.5,FALSE,NA,378,"Ashdod","N",31.83,34.63,301,NA,NA,NA,0,0,0,0,0,0,NA
"5144",5144,5144,5144,"301-1994_5",7,0,"12","0",1995,2,15,"1995-02-15",7,"winter","Levi","Nitanim N",16,NA,NA,FALSE,NA,NA,NA,FALSE,5,FALSE,NA,28.8,"Nitzanim","N",31.7,34.6,304,34.55451,31.72622,28.35662,0,0,0,0,0,0,NA
"5145",5145,5145,5145,"301-1995_6",0,30,"6","0",1996,1,22,"1996-01-22",4,"winter","Sarot","Ashdod",NA,NA,NA,FALSE,NA,NA,NA,FALSE,5.5,TRUE,NA,NA,"Ashdod",NA,31.83,34.63,301,NA,NA,NA,0,0,0,0,0,0,NA
"5146",5146,5146,5146,"301-2001",NA,NA,NA,NA,2001,9,1,"2001-09-01",35,"autumn","Sarot","Hadera S",27,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,NA,48.6,"Hadera","S",32.438,34.88,288,34.80818,32.45776,48.63013,0,0,0,0,0,0,NA
"5147",5147,5147,5147,"301-2001_02",5,0,"8","30",2002,4,22,"2002-04-22",16,"spring","Levi","Ashkelon N",160,NA,NA,FALSE,NA,NA,NA,FALSE,3.5,FALSE,NA,288,"Ashkelon","N",31.68,34.56,306,34.33185,31.82133,288.3524,0,0,0,0,0,0,NA
"5148",5148,5148,5148,"301-2002_3",20,0,NA,NA,2003,3,21,"2003-03-21",12,"spring","Levi","Ashdod N",NA,1.4,NA,FALSE,FALSE,TRUE,NA,FALSE,NA,TRUE,2.52,34.48971,"Ashdod","N",31.83,34.63,301,34.60718,31.8417,34.48971,0,0,0,0,0,0,NA
"5149",5149,5149,5149,"301-2003_4",NA,NA,NA,NA,2004,3,12,"2004-03-12",11,"spring","Sarot","Ashdod S",NA,NA,NA,FALSE,FALSE,TRUE,NA,FALSE,NA,TRUE,NA,NA,"Ashdod","S",31.83,34.63,301,NA,NA,NA,0,0,0,0,0,0,NA
"5150",5150,5150,5150,"301-2004_05",18,30,"1","0",2005,3,14,"2005-03-14",11,"spring","Levi","Ashdod N",NA,1.2,NA,FALSE,NA,NA,NA,FALSE,6.5,TRUE,2.16,32.70294,"Ashdod","N",31.83,34.63,301,34.61044,31.84003,32.70294,0,0,0,0,0,0,NA
"5151",5151,5151,5151,"301-2007_8",15,0,"18","15",2008,2,16,"2008-02-16",7,"winter","Levi","Palmachim S",30,NA,NA,FALSE,NA,NA,NA,FALSE,3.25,FALSE,NA,54,"Palmachim ","S",31.9,34.7,285,34.60093,31.9226,54.01241,0,0,0,0,15,0,23.09349
"5152",5152,5152,5152,"301-2008_09",17,30,"5","30",2009,2,2,"2009-02-02",5,"winter","Vadim","Ashdod S",NA,NA,NA,FALSE,NA,NA,NA,FALSE,12,FALSE,NA,NA,"Ashdod","S",31.83,34.63,301,NA,NA,NA,0,0,0,0,0,0,NA
"5153",5153,5153,5153,"301-2009_10",9,0,"13","0",2010,2,10,"2010-02-10",6,"winter","Vadim","Ashdod S",NA,3,NA,FALSE,NA,NA,NA,FALSE,4,FALSE,5.4,39.21016,"Ashdod","S",31.83,34.63,301,34.58109,31.85507,39.21016,40,0,0,0,10,0,27.0187
"5154",5154,5154,5154,"301-2010_11",12,0,"17","0",2011,1,9,"2011-01-09",2,"winter","Levi","Gazza N",34,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,5,FALSE,NA,61.2,"Gaza","N",31.6,34.48,310,34.38064,31.67127,61.27932,30,0,0,0,0,0,28
"5155",5155,5155,5155,"301-2011_12",15,15,NA,NA,2012,5,29,"2012-05-29",22,"spring","Doli","tzinor N",NA,2.5,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,4.5,38.21372,"Ashdod","N",31.83,34.63,301,34.58925,31.8509,38.21372,0,0,0,0,0,0,NA
"5156",5156,5156,5156,"301-2012_13",7,0,"11","50",2013,2,20,"2013-02-20",8,"winter","Doli","Ashdod N",45,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,4.833333,FALSE,NA,81,"Ashdod","N",31.83,34.63,301,34.5104,31.89126,81.67459,0,0,0,0,5,0,23.09349
"5157",5157,5157,5157,"302-1977_8",NA,NA,NA,NA,1978,3,22,"1978-03-22",12,"spring","Sarot","Gazza",100,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,NA,180,"Gaza",NA,31.6,34.48,310,34.31108,31.72105,179.023,0,0,0,0,0,0,NA
"5158",5158,5158,5158,"302-1989_90",7,0,"12","0",1990,2,17,"1990-02-17",7,"winter","Levi","Herzelia S",42,NA,NA,FALSE,NA,NA,NA,FALSE,5,FALSE,NA,75.6,"Herzelia","S",32.17,34.8,298,34.67823,32.22498,75.85189,0,0,0,0,0,0,NA
"5159",5159,5159,5159,"302-1990_1",NA,NA,NA,NA,1991,1,14,"1991-01-14",2,"winter","Tzion","Falick",50,NA,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,NA,90,"Falick",NA,32.26,34.83,300,34.70032,32.32351,89.9785,0,0,0,0,0,0,NA
"5160",5160,5160,5160,"302-1991_2",13,0,"18","0",1992,3,6,"1992-03-06",10,"spring","Levi","Herzelia S",25,NA,NA,FALSE,NA,NA,NA,FALSE,5,FALSE,NA,45,"Herzelia","S",32.17,34.8,298,34.72508,32.20385,45.09857,0,0,0,0,0,0,NA
"5161",5161,5161,5161,"302-1992_3",13,0,"16","0",1993,3,23,"1993-03-23",12,"spring","Levi","Ashdod N",NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,3,FALSE,NA,NA,"Ashdod","N",31.83,34.63,301,NA,NA,NA,0,0,0,0,0,0,NA
"5162",5162,5162,5162,"302-1994_5",12,30,"17","30",1995,2,15,"1995-02-15",7,"winter","Levi","Palmachim N",NA,4,NA,FALSE,NA,NA,NA,FALSE,5,FALSE,7.2,39.2818,"Palmachim ","N",31.9,34.7,285,34.62647,31.91678,39.2818,0,0,0,0,0,0,NA
"5163",5163,5163,5163,"302-1997_8",23,0,"6","0",1998,4,1,"1998-04-01",13,"spring","Levi","Palmachim N",185,NA,NA,FALSE,NA,NA,NA,FALSE,7,FALSE,NA,333,"Palmachim ","N",31.9,34.7,285,NA,NA,NA,0,0,0,0,0,0,NA
"5164",5164,5164,5164,"302-2001",NA,NA,NA,NA,2001,9,1,"2001-09-01",35,"autumn","Sarot","Natanya S",NA,5,NA,FALSE,NA,NA,NA,FALSE,NA,FALSE,9,51.16028,"Natania","S",32.33,34.85,300,34.76718,32.37055,51.16028,0,0,0,0,0,0,NA
"5165",5165,5165,5165,"302-2001_02",10,0,"14","30",2002,4,23,"2002-04-23",17,"spring","Levi","Ashdod N",80,NA,NA,FALSE,NA,NA,NA,FALSE,4.5,FALSE,NA,144,"Ashdod","N",31.83,34.63,301,34.46596,31.91397,143.033,0,0,0,0,0,0,NA
"5166",5166,5166,5166,"302-2003_4",NA,NA,NA,NA,2004,3,13,"2004-03-13",11,"spring","Sarot","Ashdod S",NA,NA,NA,FALSE,FALSE,TRUE,NA,FALSE,NA,TRUE,NA,NA,"Ashdod","S",31.83,34.63,301,NA,NA,NA,0,0,0,0,0,0,NA
"5167",5167,5167,5167,"302-2004_05",1,30,"6","0",2005,3,14,"2005-03-14",11,"spring","Levi","Ashdod N",NA,1.8,NA,FALSE,NA,NA,NA,FALSE,4.5,TRUE,3.24,36.90295,"Ashdod","N",31.83,34.63,301,34.60066,31.84505,36.90295,0,0,0,0,0,0,NA
"5168",5168,5168,5168,"302-2007_8",19,30,"24","0",2008,2,16,"2008-02-16",7,"winter","Levi","Ashdod N",18,NA,NA,FALSE,NA,NA,NA,FALSE,4.5,TRUE,NA,32.4,"Ashdod","N",31.83,34.63,301,34.61279,31.83882,31.7515,0,0,0,0,0,0,NA
"5169",5169,5169,5169,"302-2008_09",7,0,"11","30",2009,2,3,"2009-02-03",5,"winter","Vadim","Ashdod S",42,NA,NA,FALSE,NA,NA,NA,FALSE,4.5,FALSE,NA,75.6,"Ashdod","S",31.83,34.63,301,34.51584,31.88847,76.91565,0,0,0,0,5,0,23.09349
"5170",5170,5170,5170,"302-2009_10",13,30,"17","30",2010,2,10,"2010-02-10",6,"winter","Vadim","Ashdod S",NA,3,NA,FALSE,NA,NA,NA,FALSE,4,FALSE,5.4,39.21016,"Ashdod","S",31.83,34.63,301,34.58109,31.85507,39.21016,30,0,0,0,0,0,28
"5171",5171,5171,5171,"302-2010_11",18,0,"0","30",2011,1,9,"2011-01-09",2,"winter","Levi","Ashdod N",NA,2.1,NA,FALSE,FALSE,TRUE,NA,FALSE,6.5,TRUE,3.78,37.63044,"Ashdod","N",31.83,34.63,301,34.59577,31.84755,37.63044,0,0,0,0,0,0,NA
"5172",5172,5172,5172,"302-2011_12",20,30,NA,NA,2012,5,29,"2012-05-29",22,"spring","Doli","Ashdod S",NA,1,NA,FALSE,FALSE,TRUE,NA,FALSE,NA,TRUE,1.8,31.06025,"Ashdod","S",31.83,34.63,301,34.6137,31.83836,31.06025,0,0,0,0,0,0,NA
"5173",5173,5173,5173,"302-2012_13",20,15,"5","0",2013,2,20,"2013-02-20",8,"winter","Doli","Ashdod S",NA,1.4,NA,FALSE,FALSE,TRUE,NA,FALSE,8.75,TRUE,2.52,34.48971,"Ashdod","S",31.83,34.63,301,34.60718,31.8417,34.48971,0,0,0,0,0,0,NA
"5174",5174,5174,5174,"303-1987_8",NA,NA,NA,NA,1988,2,6,"1988-02-06",6,"winter","Tzion","Ashdod S",NA,NA,NA,FALSE,NA,NA,NA,FALSE,NA,TRUE,NA,NA,"Ashdod","S",31.83,34.63,301,NA,NA,NA,0,0,0,0,0,0,NA
"5175",5175,5175,5175,"303-1989_90",13,0,"17","30",1990,2,17,"1990-02-17",7,"winter","Levi","Bat yam S",42,NA,NA,FALSE,NA,NA,NA,FALSE,4.5,FALSE,NA,75.6,"Bat_Yam","S",32.02,34.73,286,34.61295,32.04853,74.66504,0,0,0,0,0,0,NA
"5176",5176,5176,5176,"303-1991_2",19,0,"1","30",1992,3,6,"1992-03-06",10,"spring","Levi","Ashdod N",NA,NA,NA,FALSE,NA,NA,NA,FALSE,6.5,TRUE,NA,NA,"Ashdod","N",31.83,34.63,301,NA,NA,NA,0,0,0,0,0,0,NA
"5177",5177,5177,5177,"303-1992_3",2,30,"8","0",1993,3,24,"1993-03-24",12,"spring","Levi","Tel Aviv N",200,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,5.5,FALSE,NA,360,"Tel_aviv","N",32.08,34.74,285,NA,NA,NA,0,0,0,0,0,0,NA
